Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-03-04,174.04885864257812,175.838040881393,172.74670999766127,175.09254322615726,81510100,178.83197021484375,177.96937497609338,177.71736958821614,13.741170966462075,-6.02362060546875,-146.92927146146778,-87.06798353518077,3.6086430451759277,-1
2024-03-05,169.0987548828125,171.00722719097524,168.60175641192043,169.73491231886675,95132400,176.3449920654297,175.01250161166644,174.47296447753905,8.247801654866723,-12.434890747070312,-125.7970354028764,-96.29629462474234,3.9763451323104726,1
2024-03-06,168.10475158691406,170.2120353375331,167.6673905223103,170.03310800783655,68587700,173.8997589111328,172.7099182700823,171.7262176513672,7.495646107340244,-12.226165771484375,-90.94650112069688,-96.83224082297333,3.689998683153736,1
2024-03-07,167.9854736328125,169.70508399774383,167.47854068144582,168.13456709874717,71765100,171.5638641357422,171.13510339099238,169.75478922526042,7.394497365959874,-11.679473876953125,-64.77275954334998,-95.76416210329825,3.397302387906189,1
2024-03-08,169.70509338378906,172.65726551008456,167.9258455340773,167.98548292374957,76114600,169.78858642578126,170.65843338859128,169.13519897460938,25.509370935930416,-8.876388549804688,-3.7034616178033533,-73.36500210434458,3.6641297138132556,1
2024-03-11,171.7129669189453,173.33318674250597,171.01717211248007,171.9018287593836,60139500,169.3214080810547,171.00994456537597,169.7766591389974,42.053374291921926,-2.3358917236328125,144.5116657716095,-27.67408664269062,3.6569223605005603,-1
2024-03-12,172.19007873535156,172.98527928876703,169.9834044040384,172.1105571632911,59825400,169.9396728515625,171.40332262203452,170.73288269042968,45.639428201421005,3.0913238525390625,75.91157534089093,-19.5248012472921,3.5259116686440466,1
2024-03-13,170.10269165039062,172.1503228051375,169.73490248954016,171.73284593382695,52488700,170.33926086425782,170.9697789648199,170.78722229003907,34.098975889991834,1.9979400634765625,5.2947862375857815,-55.17831579267789,3.311763019184508,1
2024-03-14,171.9614715576172,173.2636051293667,171.01717749290637,171.87201547265494,72913500,171.13446044921875,171.300343162419,171.3279591878255,48.573507807546804,3.9759979248046875,68.03485322824025,-25.36764616870539,3.281592934768313,-1
2024-03-15,171.58372497558594,171.58372497558594,169.2677105816515,170.14243263043366,121664700,171.51018676757812,171.394803766808,171.47771402994792,46.006573017397265,1.878631591796875,-74.72963033769226,-43.03214919239219,3.164025993170099,-1
2024-03-18,172.67715454101562,176.6432079045962,172.4783581807999,174.51605499918875,75604200,171.7030242919922,171.82225402487722,171.86670328776043,54.67354520036971,0.9641876220703125,149.55885904924978,-53.7733686275289,3.543118798692708,-1
2024-03-19,175.02296447753906,175.54978158656556,171.99127109820583,173.29340452493878,55215200,172.26960144042968,172.88915750909786,172.97335001627604,68.31349717128514,2.8328857421875,89.49424234685355,-21.96792102434464,3.5461971458400843,-1
2024-03-20,177.59742736816406,177.59742736816406,174.0389165846836,174.66513949599232,53423100,173.76854858398437,174.45858079545326,174.7492919921875,77.57222182130161,7.4947357177734375,119.61624489427179,0.0,3.548659879265236,-1
2024-03-21,170.34124755859375,176.42451903095682,169.81443040365232,175.98715795881162,106181300,173.4445037841797,173.08613638316677,173.6068583170573,38.223138656037214,-1.6202239990234375,-54.61868279304558,-87.11196305400783,4.395528918593319,-1
2024-03-22,171.24578857421875,172.0111704512642,169.0391141931604,170.7289059277682,71106600,173.37691650390624,172.47268711351745,172.87395324707032,42.74842501937629,-0.3379364013671875,-112.80703808311445,-74.21601271260553,4.110833950201647,-1
2024-03-25,169.82437133789062,170.90782428626645,168.43276661931924,169.54605342761408,54288300,172.80635986328124,171.5899151883085,171.6897715250651,37.371174172535426,-2.852783203125,-92.49298104456133,-84.81553483857225,3.8512712329182546,-1
2024-03-26,168.69122314453125,170.39094937582044,168.5619986920605,168.97947557636294,57388400,171.54001159667968,170.62368450704943,170.31805928548178,33.20856673122051,-6.3317413330078125,-77.19640719570242,-97.17985714588956,3.4468067263889552,-1
2024-03-27,172.26959228515625,172.55785986634996,169.08880538680637,169.3870074763491,60273300,170.4744445800781,171.17232043308505,170.5612528483073,53.60676510932932,-5.3278350830078125,47.30893100360794,-51.990183526583834,3.5307727913578466,-1
2024-03-28,170.45057678222656,171.1960744249358,169.4863986176142,170.71896018041463,65672700,170.49631042480468,170.93173921613223,170.5532969156901,44.89459444422086,0.1093292236328125,10.37734150527301,-51.08449574176868,3.3812568727420214,-1
2024-04-01,169.00929260253906,170.22197004043582,168.46259127116116,170.16233265286536,46240500,170.04901123046875,170.29092367826786,170.05762430826823,38.67008497038218,-2.2364959716796875,-70.65926787052506,-86.02392846186416,3.1026024604753304,-1
2024-04-02,167.82643127441406,168.3234297194346,167.22009256480143,168.0649959882119,49329500,169.64942321777343,169.4694262103166,169.31676432291667,33.85476539491121,-1.9979400634765625,-118.85377316693717,-88.64059305401481,2.839921870399932,-1
2024-04-03,168.63156127929688,169.6553768320082,167.56799252573734,167.7767233727702,47691700,169.63749084472656,169.19013789997672,168.97747701009115,40.191362425299815,-0.059661865234375,-51.211390648306676,-73.55694554002075,2.68941430920285,-1
2024-04-04,167.80654907226562,170.8879300889726,167.80654907226562,169.26771043200742,53704400,168.74488220214843,168.72894162407303,168.3671630859375,35.79868801163092,-4.463043212890625,-13.63541157520332,-85.25002054600994,2.7678076708594013,1
2024-04-05,168.56198120117188,169.3671161921521,167.93575835610383,168.57191570910442,42055200,168.3671630859375,168.67328814977265,168.306196085612,42.937006590492366,-1.8885955810546875,0.5310997421588622,-63.41471977623465,2.526359511001812,1
2024-04-08,167.43875122070312,168.18424879084623,167.2300203946877,168.01527116167622,37425500,168.0530548095703,168.2617758400828,167.9967254638672,35.58364806015165,-1.5705413818359375,-95.45241059718795,-94.03848577095569,2.2874797307905084,1
2024-04-09,168.65145874023438,169.05900112515698,167.33939066831408,167.6872804964856,42451200,168.2180603027344,168.39167014013333,168.1961934407552,47.67693936945284,0.8250274658203125,-11.445741560592658,-61.140693337303546,2.173905861050081,-1
2024-04-10,166.77279663085938,168.0749301271986,166.1068205360595,167.78667770328389,49709300,167.84630737304687,167.852045637042,167.71443888346354,34.96558543524594,-1.8587646484375,-117.12539506242666,-86.07067904574373,2.248052337483575,-1
2024-04-11,173.9892120361328,174.4067040844594,167.1505236254001,167.3294357885208,91070300,169.0828399658203,169.89776777007228,169.76207377115887,71.47821115956945,6.1826629638671875,166.66666666666592,-5.030095252445632,3.32522345145835,-1
2024-04-12,175.4901580810547,177.28929006742356,173.16420894399843,173.21389665591335,101593300,170.46847534179688,171.7618978737331,171.897846476237,75.11115104190601,6.9281768798828125,123.91368525099317,-16.088861063495475,3.485194996633767,-1
2024-04-15,171.65330505371094,175.56965476374435,171.46444324020368,174.3072746159751,73531800,171.31138610839844,171.72570026705904,172.29278971354168,53.38364886586507,4.2145538330078125,44.38576724307136,-50.40018215927245,3.609198308701394,-1
2024-04-16,168.3632049560547,172.71690119832985,167.25986775641732,170.71897282804144,73711200,171.2537353515625,170.60486849672427,171.31006266276043,40.74893063045588,-0.2882537841796875,-50.05536969947796,-79.82212771815219,3.9787653512852335,-1
2024-04-17,166.99147033691406,169.62555591523414,166.99147033691406,168.59180586766368,50901200,171.29747009277344,169.4004024434542,169.8893076578776,36.27457371277157,0.2186737060546875,-106.66144229572589,-100.0,3.709829387411564,-1
