Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,UNH,UNH,UNH,UNH,UNH,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-01-03,527.6575927734375,532.2913269820425,525.1751608907452,528.640761762497,2891400,517.0232482910156,517.7124755859376,520.4577006022135,100.0,21.416656494140625,119.23883778027019,-17.353116285815307,7.2177762702244825,-1
2024-01-04,530.9577026367188,534.4427924922122,528.6018876562317,530.5488559348919,2994400,521.4292358398437,522.1275512695313,525.1025187174479,100.0,22.029937744140625,96.13612900770585,-13.737575696566184,7.100523973990593,-1
2024-01-05,523.130859375,532.4957711080576,519.5776188541053,532.4957711080576,2815400,523.8590454101562,522.4619873046876,525.6697265625,61.933593320085,12.1490478515625,17.399034307987243,-46.33183597382223,8.572810491449053,-1
2024-01-08,522.293701171875,525.9247778016423,513.9995977404297,525.0973400947086,2648900,525.8157592773438,522.4058919270834,525.1479451497396,58.934155514374815,9.7835693359375,-83.7971423758571,-55.88888470161122,9.378447940386963,-1
2024-01-09,524.0946044921875,525.3017152103795,518.2147822062275,523.7344201461706,2677000,525.6268920898438,522.9687961154515,524.5742268880208,63.665895953236614,-0.9443359375,-60.35590822994306,-50.61923112150779,8.849096621852466,-1
2024-01-10,523.384033203125,526.8496344040111,521.9335513248176,523.8317978858598,2180000,524.7721801757813,523.1072084780094,523.8266072591146,60.2424009582433,-4.2735595703125,-16.673461690110184,-54.095064021845175,7.96787327717404,-1
2024-01-11,525.3699340820312,525.8371874741342,520.3565262151099,521.9140771332923,2814100,523.6546264648438,523.8614503460167,524.0258585611979,66.52992249327076,-5.5877685546875,31.188644226115347,-38.52600689014983,7.423685499373371,-1
2024-01-12,507.68170166015625,514.4668573059207,499.5239001622739,505.10194503271043,6325800,520.564794921875,518.4682007840632,518.7015502929687,24.09854824824404,-15.44915771484375,-166.66666666666515,-70.14608491133546,11.380033336610724,-1
2024-01-16,505.38427734375,510.5923933374984,502.8531831185271,509.8233623143039,3736700,517.18291015625,514.1068929706255,513.6413777669271,21.837358657951487,-16.909423828125,-87.26596727630591,-78.5536332541616,10.609508671652335,-1
2024-01-17,511.020751953125,516.5890525517959,506.21173806483887,507.45782624781003,3791300,514.5681396484375,513.0781792981254,511.5873250325521,39.30316052573416,-13.0738525390625,-28.872703794560096,-57.926650061278636,10.734038875203613,-1
2024-01-18,502.6487731933594,503.13551521126425,484.2693601355568,491.83335010715837,7367000,510.42108764648435,509.60171059653675,507.61420288085935,27.778490110921048,-20.735260009765625,-121.33407392648445,-55.784523188813885,14.054331888500315,-1
2024-01-19,490.2076110839844,503.8266430268131,488.51375839465675,501.34427065739334,6141600,503.388623046875,503.1370107590193,500.876377360026,17.983294114772686,-35.162322998046875,-96.88086145696016,-81.62652394103883,14.313332660868559,-1
2024-01-22,499.3875732421875,499.9522106278093,483.3348307663167,490.5775544741074,5922900,501.72979736328125,501.8871982534087,499.5426940917969,38.11147691521233,-8.29412841796875,-63.69844579571552,-51.72720450526263,14.784757647974681,-1
2024-01-23,501.8504943847656,504.34261106642674,498.50170702346344,498.9105536697813,2672900,501.0230407714844,501.8749636305277,499.5829264322917,42.81780998247061,-3.533782958984375,24.13165562440682,-44.320863263942144,12.96317216007428,-1
2024-01-24,499.6212463378906,507.89586153085605,499.3487016753064,504.1674600533847,2918800,498.7431396484375,501.123724532982,499.11566162109375,39.42570050988124,-11.399505615234375,90.62075060854785,-33.69001599441066,12.067055294101591,-1
2024-01-25,480.3170471191406,482.3711140104604,466.29888207566046,474.66110689693903,14671000,494.27679443359375,494.1881653950349,492.9736307779948,21.22481017381884,-22.33172607421875,-166.6666666666664,-66.3000409474942,16.36770014707399,1
2024-01-26,489.8572082519531,490.3342059515933,476.90985196964874,480.20023296250787,6212200,494.2067138671875,492.7445130140077,491.5004353841146,38.705189520050396,-0.35040283203125,-47.85767357790575,-43.365296026680234,15.77355085407332,1
2024-01-29,491.1616516113281,493.0794163809197,487.86152641706434,489.7695468394617,4554100,492.5615295410156,492.21689254644787,490.48541463216145,40.94493205381853,-8.225921630859375,-4.8374447913588074,-40.22938717834661,13.646725474644215,-1
2024-01-30,490.2563171386719,492.63162073774197,485.98273735492336,491.1616799370517,4931200,490.24269409179686,491.5633674105226,489.7170104980469,39.68683344041413,-11.59417724609375,7.319156549144866,-42.40582999826672,12.238846405116757,1
2024-01-31,498.1707458496094,501.34431353517294,491.1324747913993,491.1324747913993,5358100,489.9525939941406,493.7658268902182,492.3596944173177,54.847462401116516,-1.45050048828125,110.19835526114883,-9.055581721771489,12.007584298974818,1
2024-02-01,493.6927185058594,496.69103632717633,489.66248025329696,495.3378792290803,4242600,492.6277282714844,493.7414574287653,493.6064025878906,46.56852249397811,13.37567138671875,45.231696546021425,-31.314768319305163,11.305066521316872,1
2024-02-02,496.7008056640625,499.30970622746815,491.9891461601573,494.77329644085603,3804500,493.99644775390624,494.7279068405311,494.96409505208334,52.57892151945388,6.843597412109375,71.15637169550328,-30.228069155303306,10.505749442880216,1
2024-02-05,489.6235656738281,500.5655474066051,486.7907233138546,496.43795452770365,3646300,493.68883056640624,493.0264597849635,493.5064676920573,39.508712808259524,-1.5380859375,-38.909099703357214,-76.29912271902288,11.161149031824754,1
2024-02-06,497.129150390625,497.39198040893876,489.12710970758354,490.5775915448336,2745400,495.0633972167969,494.39402332018403,494.6532409667969,54.50191994177008,6.872833251953125,-3.2980498590396876,-28.963046783971546,10.58077075086846,1
2024-02-07,505.617919921875,507.1852150596391,499.0955645819031,500.38057072127776,4109100,496.55283203125,498.1353221874144,498.1714152018229,66.30785923820528,7.447174072265625,166.66666666666427,-7.684894319997326,10.475666894156959,-1
2024-02-08,506.2993469238281,508.3144066254266,503.56385911342846,506.8250069220602,3343000,499.07415771484375,500.856663766219,501.420253499349,67.16284255338054,12.60662841796875,96.89070904473675,-9.36205793603695,9.32922378990368,-1
