Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,BA,BA,BA,BA,BA,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-01-03,243.91000366210938,250.1300048828125,243.0,248.32000732421875,7219900,255.7560028076172,254.32467041015627,252.75800170898438,1.2136671882893662,-18.8800048828125,-132.31713684792336,-95.79869109763229,6.573521704403687,-1
2024-01-04,244.94000244140625,248.27999877929688,244.17999267578125,244.5800018310547,5170700,252.32400207519532,251.19644775390628,249.15266825358074,8.426069463940681,-17.160003662109375,-82.6644939934417,-89.90633549327485,5.976243485559851,-1
2024-01-05,249.0,250.19000244140625,245.0399932861328,245.0399932861328,3846200,250.0540008544922,250.4642985026042,248.04466756184897,32.653082629533586,-11.350006103515625,-35.44379136053298,-68.78252019288634,5.792450633777848,-1
2024-01-08,229.0,233.85000610351562,225.7899932861328,228.0,40730400,243.7220001220703,243.3095323350695,241.02666727701822,12.41996815822791,-31.660003662109375,-166.66666666666652,-90.21339507559846,9.978216897037997,-1
2024-01-09,225.75999450683594,228.7899932861328,223.1999969482422,225.66000366210938,20687500,238.52200012207032,237.459686392325,235.0393320719401,11.035292198243951,-26.0,-96.7511572498996,-90.51501653364933,9.0130287705525,-1
2024-01-10,227.83999633789062,231.61000061035156,226.63999938964844,226.89999389648438,12883700,235.30799865722656,234.2531230408469,231.4786641438802,18.34096004947995,-16.07000732421875,-50.82418242173,-82.80845333349916,8.304328079922405,-1
2024-01-11,222.66000366210938,228.27999877929688,222.6199951171875,228.07000732421875,11830500,230.85199890136718,230.38874991460108,227.26266581217448,14.606938576574766,-22.279998779296875,-68.07370320974654,-99.85488380742385,7.7257650068056,-1
2024-01-12,217.6999969482422,222.07000732421875,217.0399932861328,219.97000122070312,11268800,224.5919982910156,226.15916559248146,222.8786651611328,11.744943884315031,-31.300003051757812,-144.63476647592194,-96.07374682411377,7.273537224042854,-1
2024-01-16,200.52000427246094,210.97999572753906,199.5,210.07000732421875,35290000,218.8959991455078,217.61277848580795,214.85466715494792,6.354384503907004,-28.479995727539062,-153.6708852835279,-96.82340625016334,9.585955720118704,1
2024-01-17,203.05999755859375,206.3000030517578,201.64999389648438,202.6300048828125,20140100,214.3559997558594,212.7618515100699,209.57599995930988,13.676421690076301,-22.699996948242188,-83.32198285265717,-88.91311899431705,8.789746688414372,1
2024-01-18,211.61000061035156,213.0399932861328,203.32000732421875,205.63999938964844,20046800,211.11000061035156,212.3779012101638,208.6606669108073,35.04593130379326,-16.229995727539062,-23.18391756267199,-57.92216426686234,9.036477567287381,-1
2024-01-19,215.02000427246094,215.16000366210938,209.22999572753906,210.88999938964844,14320200,209.58200073242188,213.2586022309295,209.96400146484376,42.18152836026404,-7.6399993896484375,44.91257558100128,-31.236157571791324,8.397189275026413,-1
2024-01-22,214.92999267578125,217.0,212.36000061035156,213.07000732421875,10760800,209.0279998779297,213.81573237921344,211.74666544596354,42.02918324247072,-2.7700042724609375,92.99045049426543,-11.82861328125,7.6284406171040136,-1
2024-01-23,211.5,216.85000610351562,211.1300048828125,215.35000610351562,9076900,211.2239990234375,213.04382158614231,212.57066548665364,35.860077753967055,10.979995727539062,45.382016507517996,-35.83060464542962,7.2397507231780445,-1
2024-01-24,214.1300048828125,217.58999633789062,209.36000061035156,209.8300018310547,15119100,213.43800048828126,213.4058826850324,213.53933410644532,43.770646537953105,11.07000732421875,41.90529763666666,-24.246630125385217,7.440695645578715,-1
2024-01-25,201.8800048828125,208.72999572753906,198.32000732421875,208.1999969482422,22112500,211.49200134277345,209.56392341762577,209.6866689046224,25.476587303774423,-9.729995727539062,-166.66666666666472,-81.52568973408358,9.134079413801079,1
2024-01-26,205.47000122070312,206.75,203.0,203.0800018310547,9911200,209.58200073242188,208.19928268531822,207.67933553059896,35.371641447438975,-9.550003051757812,-68.5472641569938,-62.89570330625761,8.273323482289099,1
2024-01-29,205.19000244140625,207.0399932861328,203.85000610351562,206.05999755859375,7535400,207.63400268554688,207.19618927068092,206.21533610026043,34.91961172521527,-9.739990234375,-41.754549187316194,-64.3487336068884,7.249098777956802,-1
2024-01-30,200.44000244140625,203.97999572753906,199.13999938964844,203.64999389648438,13321200,205.42200317382813,204.94412699425604,203.8173360188802,27.474259362647523,-11.05999755859375,-92.7431943116225,-88.99846224259193,7.007855584251789,1
2024-01-31,211.0399932861328,213.77000427246094,203.25,204.9199981689453,22409400,204.8040008544922,206.97608242488164,205.68999938964845,54.52231663199273,-3.0900115966796875,140.4102452192728,-17.66997751179964,8.278284263425777,-1
2024-02-01,209.80999755859375,214.6300048828125,206.80999755859375,213.83999633789062,10679200,206.38999938964844,207.9207208027857,207.3586649576823,51.724322243203275,7.92999267578125,95.6165584407953,-31.116885829032668,8.186281298208959,-1
2024-02-02,209.3800048828125,209.5399932861328,206.35000610351562,209.05999755859375,6271200,207.1720001220703,208.4071488294613,208.35533345540364,50.58982566656007,3.910003662109375,33.457334057332915,-33.89282206721549,7.238157802146358,-1
2024-02-05,206.6300048828125,207.33999633789062,202.0,204.63999938964844,8682500,207.46000061035156,207.8147675139117,208.17466837565104,43.04258239043556,1.44000244140625,-36.56807587929209,-51.646205054804554,7.266595977568649,1
2024-02-06,208.5800018310547,210.63999938964844,203.88999938964844,206.02000427246094,7556900,209.08800048828124,208.06984561962605,208.54800211588542,49.69456798724014,8.139999389648438,-26.0336443771381,-47.90182670468275,7.163076546353754,-1
