Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,JPM,JPM,JPM,JPM,JPM,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-01-03,164.66197204589844,165.3443311883689,163.73932804313617,165.17134368687348,9852300,164.00075073242186,163.84441426595055,164.36211853027345,73.68496667742444,2.8255767822265625,92.27058312481427,-18.300532705583894,1.8927898645619945,-1
2024-01-04,165.75469970703125,167.63069594550097,164.91339344992232,165.01010006740646,11972500,164.59027709960938,164.48117607964411,164.94676818847657,81.54578511220467,2.9476318359375,149.8691751749571,-35.432669353299254,2.18442780883311,-1
2024-01-05,166.5863037109375,167.65968209492416,165.812695142733,165.812695142733,10064200,165.17312316894532,165.18288529007526,165.61211039225262,85.62946305469264,2.9142303466796875,101.62214236388762,-20.16292778461097,2.1137076277186067,-1
2024-01-08,166.34458923339844,166.67336815307394,163.8980621013763,166.34458923339844,11229900,165.7460693359375,165.57011993784965,166.00259908040366,79.25724012524506,2.8647308349609375,13.294818214073468,-24.70342499214151,2.2727021703618893,-1
2024-01-09,165.0294647216797,166.12217290632765,164.487943009755,165.95778344059053,9923600,165.67540588378907,165.38990153245967,165.76373087565105,52.62392614981537,-0.3533172607421875,-47.92177276789891,-67.0913223269946,2.1765911826057285,-1
2024-01-10,165.37757873535156,165.43559680763775,163.37586670932242,164.39122724040854,9670200,165.8185272216797,165.38579393342366,165.6644551595052,57.36441507509125,0.715606689453125,-109.32075334173435,-53.272682273912665,2.1504075159480456,-1
2024-01-11,164.6813201904297,164.73933825842948,163.07608478409773,164.7103292244296,11919500,165.60385131835938,165.15096935242568,165.28538614908854,45.88554779269828,-1.0733795166015625,-106.67551081981807,-64.97869909862284,2.1834643646947187,-1
2024-01-12,163.4725799560547,170.49304733892654,163.32752001410324,168.06586443268094,19429200,164.98110656738282,164.59150622030202,164.57496236165363,31.99295573220925,-3.1137237548828125,84.27642256829016,-94.65421095191024,3.2534025488773297,-1
2024-01-16,162.44754028320312,162.54423214727555,158.87928145443695,159.43046787018932,17206400,164.20169677734376,163.87685090793573,163.73044026692708,24.219823636349126,-3.8970489501953125,-162.95285839940115,-69.275609098237,3.5369710845368654,-1
2024-01-17,161.5772247314453,163.49190955471695,160.9970292818078,161.81897652430055,11107500,163.51124877929686,163.1103088491056,162.8556162516276,19.254750400672556,-3.452239990234375,-67.60352078324787,-76.7694363409588,3.3189649092239812,1
2024-01-18,161.89634704589844,162.00271843034182,159.78827838829608,161.6062419287475,9382300,162.81500244140625,162.70565491470322,162.31731567382812,26.18997421865418,-3.481231689453125,-67.01414411809766,-74.02164275163462,3.0900040932451716,1
2024-01-19,164.6909942626953,164.94242557872278,161.56756513076985,162.02205969627911,13114400,162.8169372558594,163.36743469736726,162.9426462809245,61.957647840411276,0.009674072265625,39.74311780470472,-49.958412576406275,3.148625407492988,1
